Country | Population | Area | Density

Australia | 25499884 | 7682300 | 3.3193033336370616;

Botswana | 2351627 | 566730 | 4.149466236126551;

Canada | 37742154 | 9093510 | 4.15044949639908;

Central African Republic | 4829767 | 622980 | 7.752683874281678;

Bolivia | 11673021 | 1083300 | 10.775427859318748;

Turkmenistan | 6031200 | 469930 | 12.834251909858915;

Chad | 16425864 | 1259200 | 13.044682337992375;

Norway | 5421241 | 365268 | 14.841817514811042;

Congo (Congo-Brazzaville) | 5518087 | 341500 | 16.158380673499266;

Saudi Arabia | 34813871 | 2149690 | 16.194833208509134;

Oman | 5106626 | 309500 | 16.499599353796444;

Argentina | 45195774 | 2736690 | 16.514758339453866;

Mali | 20250833 | 1220190 | 16.596458748227736;

Belize | 397628 | 22810 | 17.43217886891714;

Paraguay | 7132538 | 397300 | 17.95252454064938;

Finland | 5540720 | 303890 | 18.232649972029353;

New Zealand | 4822233 | 263310 | 18.313899965819758;

South Sudan | 11193725 | 610952 | 18.321774869384175;

Algeria | 43851044 | 2381740 | 18.41134800607959;

Niger | 24206644 | 1266700 | 19.110005526170365;

Papua New Guinea | 8947024 | 452860 | 19.756710683213356;

Uruguay | 3473730 | 175020 | 19.847617415152556;

Bhutan | 771608 | 38117 | 20.24314610278878;

Solomon Islands | 686884 | 27990 | 24.54033583422651;

Sweden | 10099265 | 410340 | 24.61194375396013;

Zambia | 18383955 | 743390 | 24.729892788442136;

Sudan | 43849260 | 1765048 | 24.843097751449253;

Vanuatu | 307145 | 12190 | 25.196472518457753;

Somalia | 15893222 | 627340 | 25.33430356744349;

Brazil | 212559417 | 8358140 | 25.431425771762616;

Chile | 19116201 | 743532 | 25.70999096205678;

Peru | 32971854 | 1280000 | 25.7592609375;

Angola | 32866272 | 1246700 | 26.36261490334483;

Latvia | 1886198 | 62200 | 30.324726688102896;

Estonia | 1326535 | 42390 | 31.293583392309507;

Laos | 7275560 | 230800 | 31.52322357019064;

Venezuela | 28435940 | 882050 | 32.23846720707443;

Kyrgyzstan | 6524195 | 191800 | 34.01561522419187;

Eritrea | 3546421 | 101000 | 35.11307920792079;

United States of America | 331002651 | 9147420 | 36.18535619879704;

Zimbabwe | 14862924 | 386850 | 38.42037999224505;

Bahamas | 393244 | 10010 | 39.285114885114886;

Palau | 18094 | 460 | 39.334782608695654;

Democratic Republic of the Congo | 89561403 | 2267050 | 39.50570256500739;

Mozambique | 31255435 | 786380 | 39.74596887001195;

Djibouti | 988000 | 23180 | 42.622950819672134;

Lithuania | 2722289 | 62674 | 43.435699013945175;

Colombia | 50882891 | 1109500 | 45.861100495718794;

Belarus | 9449323 | 202910 | 46.569035532994924;

Montenegro | 628066 | 13450 | 46.69635687732342;

Madagascar | 27691018 | 581795 | 47.59583358399436;

South Africa | 59308690 | 1213090 | 48.89059344319053;

Fiji | 896445 | 18270 | 49.066502463054185;

Equatorial Guinea | 1402985 | 28050 | 50.01729055258467;

Iran | 83992949 | 1628550 | 51.575296429338984;

Liberia | 5057681 | 96320 | 52.50914659468439;

Guinea | 13132795 | 245720 | 53.44617857724239;

Nicaragua | 6624554 | 120340 | 55.048645504404185;

Cameroon | 26545863 | 472710 | 56.156762073998856;

Yemen | 29825964 | 527970 | 56.49177794192852;

Georgia | 3989167 | 69490 | 57.406346236868615;

Panama | 4314767 | 74340 | 58.04098735539414;

Afghanistan | 38928346 | 652860 | 59.62740250589713;

Bulgaria | 6948445 | 108560 | 64.0055729550479;

Bosnia and Herzegovina | 3280819 | 51000 | 64.3297843137255;

Mexico | 128932753 | 1943950 | 66.32513850664883;

Tanzania | 59734218 | 885800 | 67.4353330322872;

Eswatini (fmr. "Swaziland") | 1160164 | 17200 | 67.45139534883721;

Tajikistan | 9537645 | 139960 | 68.1455058588168;

Guinea-Bissau | 1968001 | 28120 | 69.9858108108108;

Samoa | 198414 | 2830 | 70.11095406360424;

Lesotho | 2142249 | 30360 | 70.56156126482213;

Ecuador | 17643054 | 248360 | 71.03822676759543;

Ireland | 4937786 | 68890 | 71.6763826389897;

Croatia | 4105267 | 55960 | 73.36073981415296;

Ukraine | 43733762 | 579320 | 75.49154525995995;

Tunisia | 11818619 | 155360 | 76.07247039134913;

Burkina Faso | 20903273 | 273600 | 76.40085160818714;

Uzbekistan | 33469203 | 425400 | 78.67701692524683;

Greece | 10423054 | 128900 | 80.86155159038015;

C̫te d'Ivoire | 26378274 | 322463 | 81.80248276546456;

North Macedonia | 2083374 | 25220 | 82.60800951625694;

Morocco | 36910560 | 446300 | 82.70347300022407;

Brunei | 437479 | 5270 | 83.01309297912714;

Myanmar (formerly Burma) | 54409800 | 653290 | 83.28583018261415;

Romania | 19237691 | 230170 | 83.58035799626363;

Senegal | 16743927 | 192530 | 86.96788552433387;

Honduras | 9904607 | 111890 | 88.52093127178479;

Timor-Leste | 1318445 | 14870 | 88.66476126429052;

Iraq | 40222493 | 434320 | 92.61027122858722;

Spain | 46754778 | 498800 | 93.73451884522855;

Kenya | 53771296 | 569140 | 94.47815300277612;

Cambodia | 16718965 | 176520 | 94.71428166779968;

Syria | 17500658 | 183630 | 95.30391548221968;

Dominica | 71986 | 750 | 95.98133333333334;

Malaysia | 32365999 | 328550 | 98.51163901993608;

Costa Rica | 5094118 | 51060 | 99.76729338033685;

Serbia | 8737371 | 87460 | 99.90133775440201;

Egypt | 102334404 | 995450 | 102.80215379978904;

Slovenia | 2078938 | 20140 | 103.22432969215491;

Armenia | 2963243 | 28470 | 104.08299964875307;

Albania | 2877797 | 27400 | 105.02908759124088;

Cuba | 11326616 | 106440 | 106.41315295001878;

Hungary | 9660351 | 90530 | 106.7088368496631;

Benin | 12123200 | 112760 | 107.51330258957077;

Austria | 9006398 | 82409 | 109.28900969554296;

Turkey | 84339067 | 769630 | 109.5839130491275;

Sierra Leone | 7976983 | 72180 | 110.51514269880853;

Portugal | 10196709 | 91590 | 111.32993776613168;

Slovakia | 5459642 | 48088 | 113.53439527532856;

Jordan | 10203134 | 88780 | 114.92604190132913;

Ethiopia | 114963588 | 1000000 | 114.963588;

United Arab Emirates | 9890402 | 83600 | 118.30624401913876;

France | 65273511 | 547557 | 119.2086138977312;

Azerbaijan | 10139177 | 82658 | 122.66419463330833;

Moldova | 4033963 | 32850 | 122.79948249619483;

Poland | 37846611 | 306230 | 123.58884172027561;

Cyprus | 1207359 | 9240 | 130.66655844155844;

Denmark | 5792202 | 42430 | 136.51194909262315;

Ghana | 31072940 | 227540 | 136.56034103893822;

Thailand | 69799978 | 510890 | 136.6242791990448;

Cabo Verde | 555987 | 4033 | 137.85940986858418;

Czechia (Czech Republic) | 10708981 | 77240 | 138.6455334023822;

Tonga | 105695 | 720 | 146.79861111111111;

Kiribati | 119449 | 810 | 147.4679012345679;

Indonesia | 273523615 | 1811570 | 150.98705266702362;

Togo | 8278724 | 54390 | 152.21040632469203;

China | 1439323776 | 9388211 | 153.31182650240817;

Andorra | 77265 | 470 | 164.39361702127658;

Guatemala | 17915568 | 107160 | 167.1852183650616;

Malawi | 19129952 | 94280 | 202.90572761985575;

Nepal | 29136808 | 143350 | 203.25642134635507;

Saint Kitts and Nevis | 53199 | 260 | 204.61153846153846;

Italy | 60461826 | 294140 | 205.5545862514449;

Seychelles | 98347 | 460 | 213.79782608695652;

North Korea | 25778816 | 120410 | 214.09198571547213;

Switzerland | 8654622 | 39516 | 219.01563923474035;

Antigua and Barbuda | 97929 | 440 | 222.5659090909091;

Dominican Republic | 10847910 | 48320 | 224.50144867549668;

Nigeria | 206139589 | 910770 | 226.33550622001164;

Sao Tome and Principe | 219159 | 960 | 228.290625;

Uganda | 45741007 | 199810 | 228.92251138581653;

Liechtenstein | 38128 | 160 | 238.3;

Gambia | 2416668 | 10120 | 238.80118577075098;

Kuwait | 4270571 | 17820 | 239.65044893378226;

Germany | 83783942 | 348560 | 240.37164907046133;

Luxembourg | 625978 | 2590 | 241.69034749034748;

Qatar | 2881053 | 11610 | 248.15271317829456;

Trinidad and Tobago | 1399488 | 5130 | 272.8046783625731;

Jamaica | 2961167 | 10830 | 273.422622345337;

United Kingdom | 67886011 | 241930 | 280.601872442442;

Saint Vincent and the Grenadines | 110940 | 390 | 284.46153846153845;

Pakistan | 220892340 | 770880 | 286.5456880448319;

Saint Lucia | 183627 | 610 | 301.027868852459;

El Salvador | 6486205 | 20720 | 313.0407818532818;

Vietnam | 97338579 | 310070 | 313.92452994485114;

Marshall Islands | 59190 | 180 | 328.8333333333333;

Grenada | 112523 | 340 | 330.95;

Sri Lanka | 21413249 | 62710 | 341.4646627332164;

Japan | 126476461 | 364555 | 346.9338261716339;

Philippines | 109581078 | 298170 | 367.5120837106349;

Belgium | 11589623 | 30280 | 382.7484478203435;

Tuvalu | 11792 | 30 | 393.06666666666666;

Israel | 8655535 | 21640 | 399.97851201478744;

Haiti | 11402528 | 27560 | 413.73468795355586;

Burundi | 11890784 | 25680 | 463.03676012461057;

India | 1380004385 | 2973190 | 464.1494102294169;

Comoros | 869601 | 1861 | 467.2761955937668;

Netherlands | 17134872 | 33720 | 508.15160142348753;

Rwanda | 12952218 | 24670 | 525.0189704094041;

South Korea | 51269185 | 97230 | 527.2980047310501;

Nauru | 10824 | 20 | 541.2;

San Marino | 33931 | 60 | 565.5166666666667;

Mauritius | 1271768 | 2030 | 626.4866995073892;

Lebanon | 6825445 | 10230 | 667.1989247311828;

Barbados | 287375 | 430 | 668.3139534883721;

Micronesia | 548914 | 700 | 784.1628571428571;

Palestine State | 5101414 | 6020 | 847.4109634551495;

Bangladesh | 164689383 | 130170 | 1265.18693247292;

Malta | 441543 | 320 | 1379.821875;

Maldives | 540544 | 297 | 1820.013468013468;

Mongolia | 3278290 | 1553 | 2110.9401159047006;

Bahrain | 1701575 | 760 | 2238.9144736842104;

Namibia | 2540905 | 823 | 3087.369380315917;

Iceland | 341243 | 100 | 3412.43;

Suriname | 586632 | 156 | 3760.4615384615386;

Libya | 6871292 | 1759 | 3906.3627060830017;

Guyana | 786552 | 196 | 4013.0204081632655;

Mauritania | 4649658 | 1030 | 4514.231067961165;

Kazakhstan | 18776707 | 2699 | 6956.912560207485;

Monaco | 39242 | 5 | 7848.4;

Singapore | 5850342 | 728 | 8036.184065934066;

Gabon | 2225734 | 257 | 8660.443579766537;

Russia | 145934462 | 16376 | 8911.48400097704;

Holy See | 825 | 0 | Infinity;
